date,ticker,call_volume,put_volume,total_volume,call_open_interest,put_open_interest
2025-07-09,TW,75.0,593.0,668.0,4182.0,2707.0
2025-07-09,NVDA,595268.0,334789.0,930057.0,810022.0,616681.0
2025-07-09,WM,181.0,135.0,316.0,5356.0,6849.0
2025-07-09,TALK,46.0,28.0,74.0,8188.0,1227.0
2025-07-09,MAPS,105.0,4.0,109.0,5745.0,22.0
2025-07-09,PG,1803.0,722.0,2525.0,7499.0,5373.0
2025-07-09,E,14.0,3.0,17.0,100.0,14.0
2025-07-09,EIX,2008.0,77.0,2085.0,30179.0,17102.0
2025-07-09,PCG,3237.0,237.0,3474.0,16956.0,4469.0
2025-07-09,JBL,95.0,179.0,274.0,3384.0,5235.0
2025-07-09,EPS,5.0,0.0,5.0,15.0,0.0
2025-07-09,PFE,3513.0,2100.0,5613.0,36183.0,34344.0
2025-07-09,B,368.0,230.0,598.0,1924.0,654.0
2025-07-09,JNJ,1120.0,283.0,1403.0,8790.0,7460.0
2025-07-09,AI,34901.0,985.0,35886.0,106118.0,7651.0
2025-07-09,ORCL,14233.0,3166.0,17399.0,47905.0,24057.0
2025-07-09,U,11894.0,1805.0,13699.0,62470.0,14636.0
2025-07-09,STT,228.0,43.0,271.0,28040.0,1543.0
2025-07-09,LMT,611.0,415.0,1026.0,4633.0,2572.0
2025-07-09,S,66.0,133.0,199.0,1727.0,891.0
2025-07-09,NVMI,62.0,623.0,685.0,243.0,768.0
2025-07-09,MNDY,50.0,41.0,91.0,890.0,579.0
2025-07-09,INTU,149.0,232.0,381.0,1551.0,1647.0
2025-07-09,AVGO,30073.0,9164.0,39237.0,46007.0,47878.0
2025-07-09,PLTR,81609.0,39654.0,121263.0,256329.0,139702.0
2025-07-09,NOW,633.0,425.0,1058.0,3851.0,3012.0
2025-07-09,LLY,4421.0,2358.0,6779.0,11351.0,9068.0
2025-07-09,AU,337.0,3796.0,4133.0,25785.0,46041.0
2025-07-09,APP,6213.0,2426.0,8639.0,21286.0,17321.0
2025-07-09,EA,77.0,135.0,212.0,831.0,454.0
2025-07-09,URBN,126.0,87.0,213.0,249.0,541.0
2025-07-09,FOX,39.0,6.0,45.0,339.0,108.0
2025-07-09,MSFT,68709.0,31764.0,100473.0,61688.0,52318.0
2025-07-09,GOOGL,88492.0,40666.0,129158.0,116024.0,59317.0
2025-07-09,NFLX,13477.0,9996.0,23473.0,37554.0,31658.0
2025-07-09,GE,829.0,664.0,1493.0,18493.0,6389.0
2025-07-11,TW,628.0,593.0,1221.0,4183.0,2676.0
2025-07-11,NVDA,599638.0,386551.0,986189.0,770919.0,681709.0
2025-07-11,WM,144.0,216.0,360.0,5355.0,6917.0
2025-07-11,TALK,67.0,24.0,91.0,10245.0,1172.0
2025-07-11,MAPS,114.0,5.0,119.0,5757.0,23.0
2025-07-11,PG,545.0,245.0,790.0,7578.0,5210.0
